mood_id,user_id,mood_rating,mood_notes,mood_date
1,1,2,Deep in thought.,2025-06-06
2,2,7,Hurt by someone’s words.,2025-06-06
3,3,2,Laughing helped reduce stress.,2025-06-10
4,4,8,Messed up something and feeling guilty.,2025-06-07
5,5,2,Sick and a bit cranky.,2025-06-15
6,6,2,Restless sleep last night.,2025-06-06
7,7,4,Overthinking everything today.,2025-06-11
8,8,2,Eager for change.,2025-06-09
9,9,1,Overwhelmed with deadlines.,2025-06-14
10,10,9,"Panic attack earlier, now calming down.",2025-06-07
11,11,7,Hopeful about the future.,2025-06-09
12,12,1,Overstimulated from social interaction.,2025-06-09
13,13,3,Hard time getting out of bed.,2025-06-08
14,14,3,Lack of motivation lately.,2025-06-06
15,15,6,Hope is back.,2025-06-10
16,16,9,Still processing emotions.,2025-06-06
17,17,2,Lack of motivation lately.,2025-06-11
18,18,8,Nothing went as planned.,2025-06-06
19,19,8,Messed up something and feeling guilty.,2025-06-09
20,20,4,Finally feel seen.,2025-06-10
21,21,2,Mood fluctuated a lot today.,2025-06-15
22,22,7,Need some alone time.,2025-06-06
23,23,7,Mood fluctuated a lot today.,2025-06-07
24,24,10,Had a peaceful morning walk.,2025-06-13
25,25,5,Overstimulated from social interaction.,2025-06-06
26,26,2,Laughed till my stomach hurt.,2025-06-15
27,27,4,Feeling very present and mindful.,2025-06-11
28,28,3,Feel mentally stronger today.,2025-06-08
29,29,7,Today was a blur.,2025-06-14
30,30,2,Feel mentally stronger today.,2025-06-13
31,31,9,Grateful for small wins.,2025-06-09
32,32,8,"Panic attack earlier, now calming down.",2025-06-14
33,33,8,Hurt by someone’s words.,2025-06-08
34,34,6,Feel excited but also scared.,2025-06-12
35,35,2,Surprisingly optimistic.,2025-06-11
36,36,4,Feeling nauseous and stressed.,2025-06-14
37,37,6,Hope is back.,2025-06-09
38,38,8,Irritated by minor things.,2025-06-09
39,39,4,Sick and a bit cranky.,2025-06-13
40,40,10,Having a creative burst!,2025-06-11
41,41,7,Joyful after catching up with an old friend.,2025-06-12
42,42,10,Really motivated today.,2025-06-12
43,43,4,Proud of what I achieved today.,2025-06-12
44,44,1,Overwhelmed with deadlines.,2025-06-14
45,45,5,Very sleepy all day.,2025-06-10
46,46,1,Need a long nap.,2025-06-12
47,47,10,Excited to start new projects.,2025-06-09
48,48,7,Proud of what I achieved today.,2025-06-06
49,49,6,Feel like I’m falling behind.,2025-06-13
50,50,7,Regret being unkind earlier.,2025-06-07
51,51,9,Feel like I’m falling behind.,2025-06-14
52,52,1,Feeling unappreciated.,2025-06-15
53,53,2,Hard time getting out of bed.,2025-06-12
54,54,8,Having a creative burst!,2025-06-07
55,55,6,Feel excited but also scared.,2025-06-09
56,56,6,Dealing with some family stress.,2025-06-09
57,57,3,Overstimulated from social interaction.,2025-06-06
58,58,6,Emotionally numb.,2025-06-10
59,59,2,Need some alone time.,2025-06-11
60,60,7,Excited to start new projects.,2025-06-09
61,61,7,Still processing emotions.,2025-06-07
62,62,2,Head feels heavy.,2025-06-06
63,63,4,Struggling with loneliness.,2025-06-12
64,64,5,Letting go of guilt.,2025-06-06
65,65,10,Very sleepy all day.,2025-06-09
66,66,1,Emotionally numb.,2025-06-08
67,67,8,"Watched a good movie, feeling relaxed.",2025-06-11
68,68,1,Tired but happy.,2025-06-13
69,69,6,Brain fog all day.,2025-06-15
70,70,8,Mood fluctuated a lot today.,2025-06-12
71,71,5,Experienced pure joy in small things.,2025-06-15
72,72,6,Feel like I’m falling behind.,2025-06-15
73,73,5,Content with how the day went.,2025-06-12
74,74,10,"Too much screen time, feel drained.",2025-06-08
75,75,6,Nothing went as planned.,2025-06-10
76,76,6,Content with how the day went.,2025-06-07
77,77,6,Experienced pure joy in small things.,2025-06-15
78,78,2,Eager for change.,2025-06-10
79,79,5,"Chatted with a mentor, feeling guided.",2025-06-13
80,80,2,Still processing emotions.,2025-06-06
81,81,9,Got closure today.,2025-06-07
82,82,1,Craving human connection.,2025-06-07
83,83,4,Light-hearted mood today.,2025-06-08
84,84,4,Everything feels overwhelming.,2025-06-09
85,85,2,Very sleepy all day.,2025-06-08
86,86,9,Excited for the weekend!,2025-06-10
87,87,1,Feeling nauseous and stressed.,2025-06-10
88,88,1,Trying to reset mentally.,2025-06-07
89,89,10,Peaceful like never before.,2025-06-06
90,90,7,Today was a blur.,2025-06-09
91,91,7,Laughing helped reduce stress.,2025-06-06
92,92,6,Grateful for small wins.,2025-06-10
93,93,7,Deep in thought.,2025-06-06
94,94,5,Need some alone time.,2025-06-11
95,95,10,Everything feels overwhelming.,2025-06-06
96,96,7,Feel supported by my friends.,2025-06-12
97,97,3,Need a long nap.,2025-06-10
98,98,4,Today was a blur.,2025-06-15
99,99,8,Need some alone time.,2025-06-08
100,100,2,Went on a nature walk—very soothing.,2025-06-10
101,101,1,Everything feels overwhelming.,2025-06-13
102,102,5,Craving human connection.,2025-06-09
103,103,8,Overthinking everything today.,2025-06-09
104,104,10,Laughing a lot today.,2025-06-12
105,105,9,Feeling impulsive and reckless.,2025-06-15
106,106,2,"Had a cry, now feel lighter.",2025-06-14
107,107,1,Hurt by someone’s words.,2025-06-10
108,108,4,Felt great after workout.,2025-06-13
109,109,1,Feeling nauseous and stressed.,2025-06-12
110,110,10,Feeling very present and mindful.,2025-06-09
111,111,9,Got closure today.,2025-06-08
112,112,10,Joyful after catching up with an old friend.,2025-06-06
113,113,9,Feeling like giving up.,2025-06-14
114,114,2,Feeling impulsive and reckless.,2025-06-06
115,115,8,Having a balanced day emotionally.,2025-06-11
116,116,4,Mind feels heavy.,2025-06-11
117,117,9,Chose rest over hustle.,2025-06-07
118,118,4,Laughed till my stomach hurt.,2025-06-12
119,119,6,Felt really inspired.,2025-06-15
120,120,2,Grateful for small wins.,2025-06-13
121,121,4,Mood fluctuated a lot today.,2025-06-09
122,122,3,Experiencing imposter syndrome.,2025-06-07
123,123,2,Feeling very connected to friends.,2025-06-15
124,124,5,Today was a blur.,2025-06-11
125,125,9,Joyful after catching up with an old friend.,2025-06-12
126,126,10,Regret being unkind earlier.,2025-06-14
127,127,2,Good conversation boosted my mood.,2025-06-09
128,128,7,Felt really inspired.,2025-06-06
129,129,4,Feel mentally stronger today.,2025-06-07
130,130,1,Feeling thankful and grateful.,2025-06-12
131,131,7,Mood fluctuated a lot today.,2025-06-09
132,132,1,Trying to stay grounded.,2025-06-14
133,133,7,Eager for change.,2025-06-13
134,134,10,Light-hearted mood today.,2025-06-15
135,135,7,Chose rest over hustle.,2025-06-12
136,136,2,Very sleepy all day.,2025-06-09
137,137,10,Feeling thankful and grateful.,2025-06-13
138,138,2,Eager for change.,2025-06-06
139,139,10,Feeling nauseous and stressed.,2025-06-11
140,140,1,Mood fluctuated a lot today.,2025-06-14
141,141,5,Surprisingly optimistic.,2025-06-11
142,142,9,Lack of motivation lately.,2025-06-07
143,143,8,Mind racing all the time.,2025-06-11
144,144,7,Brain fog all day.,2025-06-11
145,145,3,Proud of what I achieved today.,2025-06-09
146,146,8,"Panic attack earlier, now calming down.",2025-06-14
147,147,8,Having a balanced day emotionally.,2025-06-09
148,148,1,Social battery is low.,2025-06-08
149,149,1,"Had a cry, now feel lighter.",2025-06-11
150,150,2,Had a peaceful morning walk.,2025-06-08
151,151,8,Feeling unappreciated.,2025-06-09
152,152,8,Good conversation boosted my mood.,2025-06-09
153,153,7,Nothing feels real.,2025-06-15
154,154,3,"Panic attack earlier, now calming down.",2025-06-06
155,155,1,Chose rest over hustle.,2025-06-07
156,156,10,Nothing feels real.,2025-06-07
157,157,7,"Had a cry, now feel lighter.",2025-06-15
158,158,5,Struggling to stay focused today.,2025-06-14
159,159,3,Social battery is low.,2025-06-07
160,160,2,Social battery is low.,2025-06-11
161,161,4,Dealing with some family stress.,2025-06-06
162,162,4,Craving human connection.,2025-06-09
163,163,5,Surprisingly optimistic.,2025-06-09
164,164,6,Mood improving slowly.,2025-06-11
165,165,4,Very sleepy all day.,2025-06-15
166,166,10,Still processing emotions.,2025-06-14
167,167,1,Lack of motivation lately.,2025-06-11
168,168,8,Feel supported by my friends.,2025-06-13
169,169,6,Lack of motivation lately.,2025-06-10
170,170,6,Feeling like giving up.,2025-06-13
171,171,1,Very sleepy all day.,2025-06-13
172,172,3,Really motivated today.,2025-06-08
173,173,5,Overwhelmed with deadlines.,2025-06-14
174,174,3,Insecure about how I look today.,2025-06-11
175,175,3,Went on a nature walk—very soothing.,2025-06-10
176,176,6,Trying not to overthink.,2025-06-09
177,177,1,Heavy-hearted.,2025-06-08
178,178,8,Feeling impulsive and reckless.,2025-06-11
179,179,9,Need a long nap.,2025-06-07
180,180,8,"Too much screen time, feel drained.",2025-06-12
181,181,7,Hard time getting out of bed.,2025-06-14
182,182,9,Anxious about upcoming tasks.,2025-06-13
183,183,1,Still processing emotions.,2025-06-12
184,184,9,Felt supported by family today.,2025-06-10
185,185,3,Finally feel seen.,2025-06-12
186,186,6,Deep in thought.,2025-06-07
187,187,10,Finally feel seen.,2025-06-06
188,188,3,Brain fog all day.,2025-06-14
189,189,10,Still processing emotions.,2025-06-09
190,190,5,Experiencing imposter syndrome.,2025-06-12
191,191,1,Messed up something and feeling guilty.,2025-06-10
192,192,6,Dealing with some family stress.,2025-06-09
193,193,9,Social battery is low.,2025-06-13
194,194,1,Struggling to stay focused today.,2025-06-09
195,195,7,Laughing a lot today.,2025-06-13
196,196,6,Experienced pure joy in small things.,2025-06-14
197,197,8,Calm and grounded.,2025-06-07
198,198,3,"Slept well, feel recharged.",2025-06-15
199,199,1,Chose rest over hustle.,2025-06-06
200,200,7,Woke up with a headache.,2025-06-10
201,201,3,Felt disconnected in meetings.,2025-06-11
202,202,4,"Got good news, feeling thrilled.",2025-06-14
203,203,8,Smiling for no reason.,2025-06-07
204,204,10,Joyful after catching up with an old friend.,2025-06-11
205,205,7,Laughing a lot today.,2025-06-09
206,206,7,Day felt too long.,2025-06-15
207,207,5,Feeling nauseous and stressed.,2025-06-07
208,208,4,Social battery is low.,2025-06-08
209,209,3,Surprisingly optimistic.,2025-06-14
210,210,6,Excited for the weekend!,2025-06-09
211,211,3,Emotionally stable right now.,2025-06-15
212,212,7,Proud of what I achieved today.,2025-06-06
213,213,8,Overstimulated from social interaction.,2025-06-09
214,214,3,Still processing emotions.,2025-06-07
215,215,10,Hard time getting out of bed.,2025-06-11
216,216,5,Nothing feels real.,2025-06-15
217,217,8,Good conversation boosted my mood.,2025-06-09
218,218,5,Feeling very connected to friends.,2025-06-12
219,219,9,Still processing emotions.,2025-06-08
220,220,5,Grateful for small wins.,2025-06-10
221,221,2,Lonely but trying to stay positive.,2025-06-11
222,222,9,Woke up with a headache.,2025-06-08
223,223,6,Trying not to overthink.,2025-06-12
224,224,1,Smiling for no reason.,2025-06-11
225,225,10,Trying to reset mentally.,2025-06-15
226,226,8,Feeling energized and productive.,2025-06-08
227,227,1,Good conversation boosted my mood.,2025-06-15
228,228,2,Love being productive!,2025-06-07
229,229,10,Restless with no clear reason.,2025-06-06
230,230,4,Had a peaceful morning walk.,2025-06-12
231,231,1,Emotionally drained.,2025-06-13
232,232,5,Overstimulated from social interaction.,2025-06-10
233,233,7,Emotionally stable right now.,2025-06-06
