region_id,region_name
1,"North Judithbury, Northern Mariana Islands"
2,"Lake Curtis, Czech Republic"
3,"New Roberttown, Saint Vincent and the Grenadines"
4,"East William, Bermuda"
5,"Lake Debra, Anguilla"
6,"Robinsonshire, Mayotte"
7,"Port Lindachester, Fiji"
8,"Ericmouth, Guam"
9,"South Colinstad, Bosnia and Herzegovina"
10,"Lindsaymouth, Netherlands"
11,"South Christianport, Mauritania"
12,"Barbaraland, Switzerland"
13,"Port Keith, Aruba"
14,"Port Craig, Belgium"
15,"Reidstad, Fiji"
16,"Michaelview, Central African Republic"
17,"New Cynthiaside, Reunion"
18,"East Steven, Saint Lucia"
19,"Lake Mark, Faroe Islands"
20,"East Lydiamouth, Seychelles"
21,"Carlshire, Iran"
22,"Jasonfort, Turkey"
23,"Thomasberg, Indonesia"
24,"Juliechester, Egypt"
25,"Coxberg, Ukraine"
26,"Daviston, Malawi"
27,"East Courtneychester, Tokelau"
28,"South Patrickmouth, Nepal"
29,"Tashatown, Marshall Islands"
30,"Lake Nicoleview, Pitcairn Islands"
31,"Danielchester, Seychelles"
32,"Smithview, Cayman Islands"
33,"New Rita, Macao"
34,"Meaganhaven, Trinidad and Tobago"
35,"East Nathaniel, New Caledonia"
36,"New Mariotown, Central African Republic"
37,"Natashaport, Bouvet Island (Bouvetoya)"
38,"East Natalieland, Dominican Republic"
39,"Cabreraside, Belize"
40,"East Donna, Seychelles"
41,"West Allison, Yemen"
42,"Brandtside, New Caledonia"
43,"Lake Larry, Saudi Arabia"
44,"Samuelhaven, Paraguay"
45,"East Jeffreymouth, Korea"
46,"New Jeffrey, Angola"
47,"East Carloston, Barbados"
48,"Chadbury, Tokelau"
49,"Lewisberg, Fiji"
50,"Sanchezfort, Saint Kitts and Nevis"
51,"Leeville, Sri Lanka"
52,"Gomezchester, Palestinian Territory"
53,"Lake Deniseville, Lao People's Democratic Republic"
54,"Chandlerville, Bahamas"
55,"East Amanda, Egypt"
56,"Whitemouth, Burundi"
57,"South Lindseyside, Egypt"
58,"Lake Yvettetown, Bolivia"
59,"East Richard, Bermuda"
60,"Port Richard, Liberia"
61,"South Aaron, Bahamas"
62,"Saramouth, Iceland"
63,"Hortonside, France"
64,"Mooreport, Panama"
65,"New Jillton, Cuba"
66,"Brianshire, San Marino"
67,"North Susan, Lesotho"
68,"North Brooke, Belgium"
69,"South David, Peru"
70,"New Brooke, Tuvalu"
71,"South Dianeshire, Niger"
72,"Sarahborough, Mali"
73,"Johnfurt, Paraguay"
74,"Stephenland, Bulgaria"
75,"Howellshire, Algeria"
76,"New Jasonview, Bolivia"
77,"Nicolebury, Bulgaria"
78,"Ericside, Heard Island and McDonald Islands"
79,"Cherylhaven, Romania"
80,"Sarahville, Algeria"
81,"West Darrell, Wallis and Futuna"
82,"West Juan, Botswana"
83,"Jamesview, Cote d'Ivoire"
84,"Kington, Madagascar"
85,"Calderonton, Bermuda"
86,"Kellieview, Afghanistan"
87,"Arnoldchester, Central African Republic"
88,"North Charlesberg, Monaco"
89,"Port Mikeside, Mayotte"
90,"Andersonport, Cameroon"
91,"West Jasonbury, Haiti"
92,"West Kimberlychester, Papua New Guinea"
93,"East Michelle, Niger"
